player_id,player_name,ERA,FIP,WHIP,K9,BB9,HR9,KBB,QS,GS,year
10749,이우찬,8.82,5.58311,2.14,8.287,8.02,0.535,1.0333,0.0,1.0,2024
10863,한현희,5.19,4.45565,1.52,8.253,2.83,0.825,2.9167,1.0,5.0,2024
10909,임기영,6.31,5.53674,1.7099999999999995,7.095000000000001,3.35,1.5769999999999995,2.1176,0.0,3.0,2024
11222,하영민,4.37,4.52631,1.5,6.047,3.472,0.479,1.7414,9.0,28.0,2024
11229,김유영,3.78,3.87079,1.38,7.929999999999999,3.0209999999999995,0.378,2.625,0.0,2.0,2024
11232,이인복,9.55,7.87405,1.88,5.455,3.545,2.727,1.5385,1.0,6.0,2024
11242,이건욱,11.37,7.989520000000001,2.58,8.053,7.105,2.368,1.1333,0.0,2.0,2024
11284,조이현,6.3,6.52163,1.58,4.275,2.25,2.025,1.9,0.0,9.0,2024
11300,박정수,5.16,4.69006,1.69,6.674,3.64,0.607,1.8333,0.0,1.0,2024
11308,고영표,4.95,3.77063,1.55,7.11,1.26,0.54,5.6429,9.0,17.0,2024
11310,박세웅,4.78,4.57259,1.41,6.438,2.908,0.675,2.2143,14.0,30.0,2024
11318,엄상백,4.88,4.67014,1.31,9.134,2.413,1.494,3.7857,9.0,29.0,2024
11323,주권,6.67,5.10404,1.5299999999999998,4.8100000000000005,1.707,1.086,2.8182,0.0,1.0,2024
11364,김사윤,4.62,5.03703,1.7600000000000002,8.757,6.081,0.486,1.44,0.0,2.0,2024
11379,최원태,4.26,4.70452,1.44,7.318,4.05,0.711,1.807,10.0,23.0,2024
11410,김민우,2.19,5.08298,1.05,9.486,4.378,1.459,2.1667,1.0,3.0,2024
11491,박소준,11.25,10.5316,2.0,4.5,4.5,4.5,1.0,0.0,1.0,2024
12295,윌커슨,3.84,3.66976,1.21,7.642,1.236,0.824,6.1852,18.0,32.0,2024
12565,최성영,5.79,5.37377,1.76,5.593,3.279,1.35,1.7059,1.0,4.0,2024
12568,이영하,3.99,4.56377,1.5,8.128,4.959,0.551,1.6389,0.0,1.0,2024
12852,최원준,6.46,6.14708,1.45,5.891,2.782,1.718,2.1176,3.0,24.0,2024
12908,손주영,3.79,4.61665,1.46,6.968,3.359,0.684,2.0741,11.0,27.0,2024
12928,윤성빈,45.0,20.0316,6.0,9.0,18.0,9.0,0.5,0.0,1.0,2024
12930,나균안,8.51,6.42204,2.21,9.123,5.795,1.849,1.5745,2.0,14.0,2024
12944,김건국,7.859999999999999,5.99959,1.81,5.243,3.67,1.311,1.4286,0.0,3.0,2024
13061,곽빈,4.24,4.21016,1.3,8.266,4.08,0.59,2.0263,17.0,30.0,2024
13070,박신지,2.08,6.68932,1.85,3.115,8.308,0.0,0.375,0.0,1.0,2024
13072,김민규,4.32,7.17963,1.6800000000000004,6.84,6.84,1.44,1.0,0.0,4.0,2024
