game_id,game_date,season,home_team_code,away_team_code,stadium_code,home_sp_id,away_sp_id,home_sp_name,away_sp_name,home_score,away_score,home_win,game_state,game_time,weather,temperature,humidity,windDirection,windSpeed,rainprobability,home_lineup_n_hitters,home_lineup_OPS,home_lineup_OBP,home_lineup_SLG,home_top5_n,home_top5_OPS,home_top5_OBP,away_lineup_n_hitters,away_lineup_OPS,away_lineup_OBP,away_lineup_SLG,away_top5_n,away_top5_OPS,away_top5_OBP,home_sp_player_id,home_sp_player_name,home_sp_ERA,home_sp_FIP,home_sp_WHIP,home_sp_K9,home_sp_BB9,home_sp_HR9,home_sp_KBB,home_sp_QS,home_sp_GS,away_sp_player_id,away_sp_player_name,away_sp_ERA,away_sp_FIP,away_sp_WHIP,away_sp_K9,away_sp_BB9,away_sp_HR9,away_sp_KBB,away_sp_QS,away_sp_GS,lineup_OPS_diff,lineup_OBP_diff,lineup_SLG_diff,top5_OPS_diff,top5_OBP_diff,sp_ERA_diff,sp_FIP_diff,sp_WHIP_diff,sp_K9_diff,sp_BB9_diff,sp_HR9_diff,sp_KBB_diff,y_home_win
20250881,2025-09-07 08:00:00,2025,11001,2002,8005,11353,10058,구창모,양현종,2.0,1.0,1,3,17:00:00,10500,27.2,88,21300,1.6,,9,0.7864268486194859,0.3449051094890511,0.4415217391304348,5,0.825348128342246,0.35665026737967914,9,0.7918665620094192,0.3620015698587127,0.42986499215070645,5,0.8189677419354839,0.3774016649323621,11353,구창모,2.51,2.27911,1.19,11.302,1.884,0.628,6.0,0,3,10058,양현종,5.06,4.34674,1.49,6.412,3.3529999999999998,0.706,1.9123,11,30,-0.0054397133899333205,-0.01709646036966156,0.01165674697972835,0.006380386406762084,-0.02075139755268296,-2.55,-2.0676299999999994,-0.30000000000000004,4.89,-1.4689999999999999,-0.07799999999999996,4.0877,1
20250882,2025-09-09 09:30:00,2025,10001,5002,1003,13941,16404,알칸타라,톨허스트,11.0,2.0,1,3,18:30:00,10100,26.7,56,20700,1.6,,9,0.718585400225479,0.3259120631341601,0.392673337091319,5,0.7709215773150199,0.34581391227292874,9,0.7976364050056883,0.3682612059158134,0.42937519908987487,5,0.827928049671293,0.3831380569758948,13941,알칸타라,3.27,3.46988,1.12,6.843,0.744,0.818,9.2,14,19,16404,톨허스트,2.86,3.21182,1.25,9.205,3.273,0.409,2.8125,5,8,-0.07905100478020932,-0.042349142781653304,-0.03670186199855585,-0.0570064723562731,-0.03732414470296608,0.41000000000000014,0.25805999999999996,-0.1299999999999999,-2.362,-2.529,0.409,6.387499999999999,1
20250883,2025-09-09 09:30:00,2025,12001,6002,2002,14600,13061,소형준,곽빈,8.0,1.0,1,3,18:30:00,10400,24.8,68,20900,2.5,,9,0.761446822522226,0.35755120184392486,0.4038956206783009,5,0.8117222222222222,0.3733777777777778,9,0.7837285563007412,0.3541408400988351,0.42958771620190617,5,0.8345736961451247,0.3655402494331066,14600,소형준,3.3,2.98945,1.25,7.514,1.771,0.367,4.2414,18,24,13061,곽빈,4.2,3.7101,1.25,8.808,3.375,0.741,2.6098,7,19,-0.022281733778515278,0.0034103617450897405,-0.02569209552360524,-0.022851473922902432,0.007837528344671219,-0.9000000000000004,-0.72065,0.0,-1.2939999999999996,-1.604,-0.374,1.6315999999999997,1
20250885,2025-09-09 09:30:00,2025,3001,7002,8001,11310,16153,박세웅,와이스,1.0,9.0,0,3,18:30:00,10500,21.4,87,20300,1.6,,9,0.7418922876667752,0.3534594858444517,0.3884328018223235,5,0.7602155902004454,0.3619291759465479,9,0.7874969644405898,0.3545018791558254,0.4329950852847644,5,0.8281057736720555,0.3567390300230947,11310,박세웅,4.93,3.8371,1.48,8.739,3.025,0.84,2.8889,12,28,16153,와이스,2.87,3.12386,1.02,10.427,2.8209999999999997,0.655,3.6964,21,30,-0.045604676773814634,-0.0010423933113736794,-0.0445622834624409,-0.06789018347161013,0.005190145923453182,2.0599999999999996,0.7132399999999999,0.45999999999999996,-1.6879999999999988,0.20400000000000018,0.18499999999999994,-0.8075000000000001,0
20250887,2025-09-10 09:30:00,2025,2002,1001,6001,16088,16397,네일,가라비토,4.0,0.0,1,3,18:30:00,10100,27.9,69,20100,1.0,,9,0.7918665620094192,0.3620015698587127,0.42986499215070645,5,0.8189677419354839,0.3774016649323621,9,0.8237592067988668,0.3667740793201133,0.45698512747875353,5,0.8762003816793893,0.3833335877862596,16088,네일,2.25,3.13122,1.07,8.325,2.245,0.329,3.7073,19,27,16397,가라비토,2.64,3.90587,1.19,9.651,4.251,0.689,2.2703,4,15,-0.031892644789447644,-0.00477250946140062,-0.02712013532804708,-0.057232639743905356,-0.005931922853897487,-0.3900000000000001,-0.7746500000000003,-0.11999999999999988,-1.3260000000000005,-2.0060000000000002,-0.35999999999999993,1.4369999999999998,1
20250888,2025-09-10 09:30:00,2025,3001,7002,8001,16391,10590,감보아,류현진,0.0,13.0,0,3,18:30:00,10400,24.7,64,21100,2.0,,9,0.738279189352692,0.35400362976406535,0.38427555958862675,5,0.7774702522608282,0.3703774393146121,9,0.7874969644405898,0.3545018791558254,0.4329950852847644,5,0.8281057736720555,0.3567390300230947,16391,감보아,3.58,3.44179,1.35,9.75,4.083,0.5,2.3878,11,19,10590,류현진,3.23,3.37462,1.21,7.88,1.615,0.775,4.88,12,26,-0.04921777508789782,-0.0004982493917600195,-0.04871952569613763,-0.05063552141122729,0.013638409291517384,0.3500000000000001,0.06716999999999995,0.14000000000000012,1.87,2.468,-0.275,-2.4922,0
20250889,2025-09-10 09:30:00,2025,11001,9002,8005,13085,16146,신민혁,앤더슨,5.0,4.0,1,3,18:30:00,10400,25.2,79,21500,3.4,,9,0.7748012067322959,0.35035026992696094,0.424450936805335,5,0.8181244703389832,0.3561880296610169,9,0.7289618583309433,0.33938629194149694,0.3895755663894465,5,0.7486353775552774,0.3476633291614518,13085,신민혁,4.77,5.17697,1.32,5.727,1.7730000000000001,1.568,3.2308,5,28,16146,앤더슨,2.25,2.37029,1.0,12.845,2.674,0.682,4.8039,17,30,0.04583934840135262,0.010963977985464002,0.03487537041588851,0.06948909278370574,0.008524700499565108,2.5199999999999996,2.80668,0.32000000000000006,-7.118,-0.9009999999999998,0.886,-1.5730999999999997,1
20250970,2025-09-10 09:30:00,2025,6002,5002,1001,16298,12908,콜어빈,손주영,4.0,8.0,0,3,18:30:00,10100,30.2,29,20500,1.4,,9,0.7466198949824969,0.34272607934655774,0.4038938156359394,5,0.8061943734015345,0.3502409207161125,9,0.7980796903460838,0.3689052823315118,0.42917440801457196,5,0.827928049671293,0.3831380569758948,16298,콜어빈,4.48,4.5926,1.53,7.963,4.915,0.56,1.6203,10,28,12908,손주영,3.41,3.4925,1.32,7.765,2.882,0.471,2.6939,14,27,-0.05145979536358691,-0.026179202984954075,-0.02528059237863256,-0.021733676269758417,-0.0328971362597823,1.0700000000000003,1.1000999999999999,0.20999999999999996,0.1980000000000004,2.033,0.08900000000000008,-1.0736,0
20250890,2025-09-11 09:30:00,2025,5002,12001,1001,16286,16138,치리노스,헤이수스,4.0,6.0,0,3,18:30:00,10100,30.1,40,20300,1.8,,9,0.7980796903460838,0.3689052823315118,0.42917440801457196,5,0.827928049671293,0.3831380569758948,9,0.7467017479970866,0.35565731973780046,0.39104442825928626,5,0.7891621621621623,0.36837837837837845,16286,치리노스,3.31,3.13333,1.18,6.966,1.831,0.254,3.8056,17,30,16138,헤이수스,3.96,3.65102,1.33,9.073,2.42,0.935,3.75,15,30,0.051377942348997285,0.01324796259371136,0.0381299797552857,0.03876588750913068,0.014759678597516368,-0.6499999999999999,-0.51769,-0.15000000000000013,-2.107,-0.589,-0.681,0.055600000000000094,0
20250891,2025-09-11 09:30:00,2025,10001,11001,1003,16403,16350,메르세데스,로건,4.0,1.0,1,3,18:30:00,10100,30.3,36,20900,2.7,,9,0.7112805755395685,0.32159757194244604,0.3896830035971222,5,0.756528110047847,0.33685047846889954,9,0.7970684820706391,0.3594381234834187,0.4376303585872202,5,0.8295438677078548,0.3639090491502067,16403,메르세데스,4.47,3.61217,1.3599999999999999,7.964,1.748,0.971,4.5556,2,8,16350,로건,4.53,4.39089,1.43,7.751,3.4859999999999998,0.936,2.2239,16,31,-0.0857879065310706,-0.037840551540972656,-0.047947354990098,-0.07301575766000779,-0.02705857068130718,-0.0600000000000005,-0.7787199999999999,-0.07000000000000006,0.21300000000000008,-1.7379999999999998,0.03499999999999992,2.3317,1
